Id,GameURL,Critic,Score,ReviewDate
2250,http://www.metacritic.com/game/ds/1950s-lawn-mower-kids,"Nintendo Life",40,2011-09-07
2256,http://www.metacritic.com/game/ios/1-bit-ninja-remix-rush,"Pocket Gamer UK",70,2015-01-08
2258,http://www.metacritic.com/game/game-boy-advance/american-bass-challenge,"Game Informer",60,NULL
2264,http://www.metacritic.com/game/playstation-vita/a-men-2,"Armchair Empire",40,2014-01-06
2272,http://www.metacritic.com/game/playstation/army-men-air-attack-2,"Hot Games",50,NULL
2286,http://www.metacritic.com/game/gamecube/animaniacs-the-great-edgar-hunt,netjak,43,NULL
2287,http://www.metacritic.com/game/ds/1st-class-poker-blackjack,"Nintendo Life",60,2012-03-26
2288,http://www.metacritic.com/game/ios/10-2013,148Apps,80,2013-10-22
2291,http://www.metacritic.com/game/game-boy-advance/american-idol,"GamingWorld X",10,NULL
2293,http://www.metacritic.com/game/wii-u/angry-birds-star-wars,"Official Nintendo Magazine UK",38,2014-03-07
2299,http://www.metacritic.com/game/nintendo-64/blues-brothers-2000,"Daily Radar",0,NULL
2322,http://www.metacritic.com/game/playstation-2/25-to-life,"G4 TV",20,NULL
2330,http://www.metacritic.com/game/playstation/army-men-sarges-heroes-2,GameSpot,30,NULL
2356,http://www.metacritic.com/game/psp/ace-combat-x-skies-of-deception,Gamestyle,50,NULL
2357,http://www.metacritic.com/game/ds/21-blackjack,"Nintendo Life",60,2011-01-16
2366,http://www.metacritic.com/game/gamecube/aquaman-battle-for-atlantis,GameShark,10,NULL
2367,http://www.metacritic.com/game/ios/10-more-bullets,148Apps,70,2014-05-21
2373,http://www.metacritic.com/game/game-boy-advance/animaniacs-lights-camera-action!,GameCritics,10,NULL
2378,http://www.metacritic.com/game/pc/10000000,"Riot Pixels",50,2013-01-27
2389,http://www.metacritic.com/game/playstation-2/4x4-evolution,"All Game Guide",40,NULL
2390,http://www.metacritic.com/game/wii-u/angry-birds-trilogy,"Nintendo Life",80,2013-09-09
2402,http://www.metacritic.com/game/nintendo-64/body-harvest,"Game Revolution",33,NULL
2405,http://www.metacritic.com/game/ds/247-solitaire,N-Europe,70,NULL
2413,http://www.metacritic.com/game/playstation/army-men-world-war,"Game Revolution",0,NULL
2418,http://www.metacritic.com/game/gamecube/army-men-air-combat---the-elite-missions,IGN,35,NULL
2420,http://www.metacritic.com/game/ios/100-floors,Modojo,90,2012-06-26
2426,http://www.metacritic.com/game/game-boy-advance/army-men-advance,GameSpot,44,NULL
2456,http://www.metacritic.com/game/psp/ace-combat-joint-assault,GameShark,58,NULL
2463,http://www.metacritic.com/game/playstation-vita/actual-sunlight,"Gaming Age",50,2015-08-17
2467,http://www.metacritic.com/game/wii-u/angry-bunnies-colossal-carrot-crusade,Cubed3,20,2014-10-26
2469,http://www.metacritic.com/game/ds/3-heroes-crystal-soul,IGN,50,2012-01-05
2474,http://www.metacritic.com/game/playstation/army-men-world-war---land-sea-air,"Daily Radar",0,NULL
2493,http://www.metacritic.com/game/ios/100-greatest-hits,148Apps,70,2012-04-24
2498,http://www.metacritic.com/game/playstation-2/50-cent-bulletproof,"G4 TV",20,NULL
2500,http://www.metacritic.com/game/game-boy-advance/army-men-operation-green,"Nintendo Power",44,NULL
2503,http://www.metacritic.com/game/gamecube/army-men-rts,Nintendojo,50,NULL
2513,http://www.metacritic.com/game/psp/activision-hits-remixed,Eurogamer,60,NULL
2528,http://www.metacritic.com/game/nintendo-64/castlevania,"Game Revolution",42,NULL
2538,http://www.metacritic.com/game/ds/321wordsup!,Cubed3,60,2012-08-28
2545,http://www.metacritic.com/game/dreamcast/bust-a-move-4,"Happy Puppy",65,NULL
2554,http://www.metacritic.com/game/playstation/atv-quad-power-racing,"CNET Gamecenter",30,NULL
2555,http://www.metacritic.com/game/ios/100-nazi-scalps,"Gamers\' Temple",72,2011-01-27
2557,http://www.metacritic.com/game/playstation-2/7-wonders-of-the-ancient-world,AceGamez,40,NULL
2560,http://www.metacritic.com/game/playstation-vita/adventure-time-the-secret-of-the-nameless-kingdom,RPGamer,60,2014-12-17
2568,http://www.metacritic.com/game/game-boy-advance/around-the-world-in-80-days,netjak,10,NULL
2573,http://www.metacritic.com/game/wii-u/angry-video-game-nerd-adventures,"Nintendo Life",70,2015-04-06
2574,http://www.metacritic.com/game/psp/actual-crimes-jack-the-ripper,"Playstation Official Magazine UK",20,2010-12-24
2605,http://www.metacritic.com/game/xbox-360/2014-fifa-world-cup-brazil,GamesRadar+,50,2014-04-16
2624,http://www.metacritic.com/game/gamecube/army-men-sarges-war,GameNow,25,NULL
2637,http://www.metacritic.com/game/wii/2010-fifa-world-cup-south-africa,Boomtown,40,NULL
2646,http://www.metacritic.com/game/playstation-4/afro-samurai-2-revenge-of-kuma-volume-one,Destructoid,10,2015-09-29
2655,http://www.metacritic.com/game/3ds/3d-classics-kid-icarus,"Eurogamer Portugal",60,2012-02-06
2659,http://www.metacritic.com/game/ds/3d-mahjong,NintendoWorldReport,50,NULL
2731,http://www.metacritic.com/game/dreamcast/buzz-lightyear-of-star-command,"Game Revolution",16,NULL
2741,http://www.metacritic.com/game/playstation-3/3d-dot-game-heroes,"Game Revolution",50,NULL
2761,http://www.metacritic.com/game/xbox/aggressive-inline,eToychest,50,NULL
2763,http://www.metacritic.com/game/game-boy-advance/arthur-and-the-invisibles,GameSpot,32,NULL
2766,http://www.metacritic.com/game/wii/3-2-1-rattle-battle,"Official Nintendo Magazine UK",31,NULL
2776,http://www.metacritic.com/game/ios/100-rogues,"Slide to Play",50,2011-01-27
2794,http://www.metacritic.com/game/gamecube/atv-quad-power-racing-2,"Gaming Age",50,NULL
2801,http://www.metacritic.com/game/psp/adventures-to-go!,RPGamer,40,NULL
2820,http://www.metacritic.com/game/nintendo-64/conkers-bad-fur-day,"Maxim Online",60,NULL
2823,http://www.metacritic.com/game/playstation/backyard-soccer,"PSX Nation",49,NULL
2824,http://www.metacritic.com/game/ds/3d-twist-match,"Nintendo Life",50,2011-04-14
2825,http://www.metacritic.com/game/playstation-3/3d-ultra-minigolf-adventures-2,"Playstation Official Magazine UK",30,2011-10-11
2829,http://www.metacritic.com/game/playstation-vita/aeternoblade,PSNStores,40,2015-02-12
2850,http://www.metacritic.com/game/xbox/airforce-delta-storm,"Gaming Age",33,NULL
2858,http://www.metacritic.com/game/3ds/3d-classics-kirbys-adventure,Modojo,60,2011-11-20
2875,http://www.metacritic.com/game/gamecube/auto-modellista,Nintendophiles,55,NULL
2895,http://www.metacritic.com/game/ios/100-trials,TouchArcade,70,2012-02-14
2909,http://www.metacritic.com/game/dreamcast/cannon-spike,"Gaming Age",25,NULL
2922,http://www.metacritic.com/game/game-boy-advance/astro-boy-omega-factor,AltGaming,40,NULL
2926,http://www.metacritic.com/game/xbox-one/angry-birds-star-wars,"Official Xbox Magazine",50,2013-12-02
2936,http://www.metacritic.com/game/playstation-4/air-conflicts-vietnam-ultimate-edition,CalmDownTom,20,2014-07-06
2946,http://www.metacritic.com/game/playstation/ball-breakers,GameSpot,53,NULL
2952,http://www.metacritic.com/game/playstation-3/4-elements-hd,"Playstation Official Magazine UK",40,2011-10-11
2957,http://www.metacritic.com/game/wii/3d-pixel-racing,"Games Master UK",28,2011-10-23
2974,http://www.metacritic.com/game/nintendo-64/cruisn-exotica,"Games Radar",0,NULL
2984,http://www.metacritic.com/game/psp/aedis-eclipse-generation-of-chaos,"G4 TV",40,NULL
3005,http://www.metacritic.com/game/xbox-360/3-on-3-nhl-arcade,Everyeye.it,30,NULL
3009,http://www.metacritic.com/game/playstation-vita/age-of-zombies,"God is a Geek",60,2014-01-27
3016,http://www.metacritic.com/game/wii-u/another-world-20th-anniversary-edition,"Nintendo Life",70,2014-06-24
3019,http://www.metacritic.com/game/ds/4-travellers-play-french,"Nintendo Life",40,NULL
3041,http://www.metacritic.com/game/playstation-2/ace-combat-04-shattered-skies,"All Game Guide",60,NULL
3048,http://www.metacritic.com/game/game-boy-advance/atari-anniversary-advance,"Computer and Video Games",57,NULL
3055,http://www.metacritic.com/game/3ds/3d-classics-twinbee,N-Europe,40,2011-11-02
3065,http://www.metacritic.com/game/gamecube/avatar-the-last-airbender,NintendoWorldReport,40,NULL
3101,http://www.metacritic.com/game/playstation/batman-beyond-return-of-the-joker,"Daily Radar",0,NULL
3109,http://www.metacritic.com/game/xbox/alias,TotalGames.net,39,NULL
3121,http://www.metacritic.com/game/ios/1000-heroz,"Edge Magazine",60,2011-06-28
3131,http://www.metacritic.com/game/dreamcast/capcom-vs-snk,"Game Revolution",50,NULL
3134,http://www.metacritic.com/game/playstation-3/5-star-wrestling,"Playstation Official Magazine UK",20,2015-06-01
3141,http://www.metacritic.com/game/psp/aero-racer,"Playstation Official Magazine UK",40,NULL
3147,http://www.metacritic.com/game/xbox-one/another-world-20th-anniversary-edition,"Eurogamer Germany",40,2014-07-08
3149,http://www.metacritic.com/game/ds/4-travellers-play-spanish,"Nintendo Life",50,NULL
